userid,gender,no_of_days,no_os_calls,enrolled
3291,Female,7,3,Yes
3292,Female,15,9,Yes
3293,Male,26,8,Yes
3294,Female,25,5,Yes
3295,Female,5,7,Yes
3296,Female,2,3,Yes
3297,Male,7,1,Yes
3298,Male,8,1,Yes
3299,Male,28,2,No
3300,Female,7,8,Yes
3301,Male,30,1,No
3302,Male,7,5,Yes
3303,Male,28,9,No
3304,Male,14,9,Yes
3305,Male,21,2,Yes
3306,Male,18,7,Yes
3307,Female,6,1,Yes
3308,Female,4,3,Yes
3309,Male,10,6,No
3310,Male,18,9,Yes
3311,Female,12,2,Yes
3312,Female,16,7,Yes
3313,Male,25,4,No
3314,Male,7,2,No
3315,Male,6,3,No
3316,Male,28,6,No
3317,Female,5,9,No
3318,Male,3,8,No
3319,Male,12,9,Yes
3320,Male,15,4,Yes
3321,Male,10,4,Yes
3322,Female,26,9,No
3323,Female,20,8,Yes
3324,Female,19,2,Yes
3325,Male,16,8,No
3326,Male,28,1,Yes
3327,Female,11,9,Yes
3328,Male,8,9,Yes
3329,Male,3,8,No
3330,Female,23,5,No
3331,Female,7,5,Yes
3332,Female,23,3,Yes
3333,Female,29,5,No
3334,Male,7,4,No
3335,Male,14,1,No
3336,Female,2,9,No
3337,Male,10,4,Yes
3338,Female,19,3,No
3339,Female,26,6,Yes
3340,Male,9,1,No
3341,Female,16,5,Yes
3342,Male,19,7,No
3343,Male,18,2,No
3344,Male,9,9,No
3345,Male,16,6,Yes
3346,Female,13,2,Yes
3347,Male,10,8,Yes
3348,Female,25,8,Yes
3349,Female,20,1,No
3350,Female,14,1,No
3351,Female,12,1,No
3352,Male,25,4,Yes
3353,Male,19,4,No
3354,Female,7,8,No
3355,Female,23,1,No
3356,Male,15,3,Yes
3357,Female,16,1,Yes
3358,Male,27,9,No
3359,Female,8,9,Yes
3360,Male,10,7,Yes
3361,Female,4,8,No
3362,Female,19,1,No
3363,Male,19,5,Yes
3364,Female,28,2,Yes
3365,Female,21,1,No
3366,Male,27,3,No
3367,Female,15,7,No
3368,Male,14,1,No
3369,Male,1,2,No
3370,Female,16,2,No
3371,Female,10,4,No
3372,Female,19,3,Yes
3373,Female,30,3,Yes
3374,Female,22,5,No
3375,Female,3,3,Yes
3376,Female,5,7,Yes
3377,Male,9,5,No
3378,Female,18,4,No
3379,Male,11,3,No
3380,Female,16,4,Yes
3381,Female,2,2,No
3382,Male,12,1,No
3383,Female,22,3,Yes
3384,Female,6,2,No
3385,Male,11,1,Yes
3386,Female,27,1,Yes
3387,Female,8,2,No
3388,Female,12,9,No
3389,Male,29,5,No
3390,Female,27,9,Yes
3391,Female,30,8,No
3392,Female,2,6,Yes
3393,Female,9,1,No
3394,Male,15,5,No
3395,Male,2,1,No
3396,Female,29,7,No
3397,Female,1,8,Yes
3398,Male,10,8,No
3399,Male,2,7,No
3400,Female,12,2,No
3401,Male,23,5,No
3402,Female,8,4,Yes
3403,Male,5,5,Yes
3404,Male,22,9,No
3405,Male,28,4,Yes
3406,Male,1,8,No
3407,Female,15,8,Yes
3408,Male,6,2,No
3409,Male,12,6,Yes
3410,Female,8,5,Yes
3411,Male,13,2,Yes
3412,Male,19,4,Yes
3413,Female,27,7,Yes
3414,Male,1,1,No
3415,Female,11,9,Yes
3416,Female,20,1,No
3417,Female,1,5,No
3418,Female,30,7,No
3419,Male,8,8,No
3420,Female,5,2,No
3421,Male,17,4,No
3422,Male,30,2,No
3423,Male,8,4,No
3424,Male,25,6,No
3425,Male,10,6,No
3426,Male,2,2,No
3427,Male,9,4,Yes
3428,Male,24,4,No
3429,Male,23,1,No
3430,Male,3,2,No
3431,Female,18,3,Yes
3432,Female,7,5,Yes
3433,Female,15,8,No
3434,Male,21,6,Yes
3435,Female,22,3,Yes
3436,Female,20,6,No
3437,Female,18,7,No
3438,Male,25,6,Yes
3439,Male,3,6,Yes
3440,Male,28,1,No
3441,Male,30,3,No
3442,Female,23,7,No
3443,Female,14,4,No
3444,Female,24,4,No
3445,Female,2,7,No
3446,Male,14,9,Yes
3447,Male,22,2,No
3448,Male,11,9,No
3449,Female,16,3,Yes
3450,Male,8,6,No
3451,Male,7,4,No
3452,Female,11,1,Yes
3453,Female,3,9,Yes
3454,Male,17,6,No
3455,Male,14,8,Yes
3456,Male,6,2,No
3457,Male,8,7,No
3458,Male,22,6,Yes
3459,Male,5,2,No
3460,Female,27,2,No
3461,Female,28,4,No
3462,Female,8,4,No
3463,Male,2,3,Yes
3464,Female,15,8,Yes
3465,Male,12,7,No
3466,Male,17,2,No
3467,Female,1,3,No
3468,Male,15,9,No
3469,Male,14,5,No
3470,Female,20,2,Yes
3471,Female,22,3,Yes
3472,Female,16,8,Yes
3473,Male,29,4,No
3474,Female,9,2,No
3475,Female,1,2,No
3476,Male,28,6,Yes
3477,Female,17,8,No
3478,Female,29,7,Yes
3479,Female,13,4,No
3480,Male,21,2,No
3481,Male,26,9,No
3482,Male,21,4,No
3483,Male,5,9,Yes
3484,Female,10,5,No
3485,Male,6,7,No
3486,Male,24,5,Yes
3487,Female,19,2,Yes
3488,Female,25,6,Yes
3489,Female,13,7,No
3490,Male,1,6,No
3491,Male,20,3,No
3492,Male,25,8,No
3493,Female,15,3,Yes
3494,Female,14,5,Yes
3495,Male,8,9,Yes
3496,Female,10,5,Yes
3497,Female,9,7,Yes
3498,Female,17,7,No
3499,Male,9,5,No
3500,Female,3,2,No
3501,Female,11,5,Yes
3502,Male,12,7,Yes
3503,Male,10,7,No
3504,Female,25,4,No
3505,Female,17,1,No
3506,Male,17,6,No
3507,Male,25,3,No
3508,Female,11,5,No
3509,Female,30,4,Yes
3510,Female,22,2,No
3511,Female,4,7,Yes
3512,Male,7,5,No
3513,Female,21,7,Yes
3514,Female,26,9,Yes
3515,Male,14,4,Yes
3516,Female,7,5,No
3517,Male,24,9,No
3518,Female,8,4,No
3519,Female,1,5,No
3520,Male,24,5,Yes
3521,Male,22,8,No
3522,Female,4,4,No
3523,Female,29,4,No
3524,Female,30,7,Yes
3525,Male,12,5,Yes
3526,Female,24,6,No
3527,Male,3,6,No
3528,Male,13,6,No
3529,Female,20,5,No
3530,Male,6,5,Yes
3531,Female,11,9,No
3532,Female,23,8,No
3533,Female,4,4,Yes
3534,Female,20,7,No
3535,Female,16,8,No
3536,Male,7,9,No
3537,Male,22,5,Yes
3538,Female,29,3,Yes
3539,Female,11,4,No
3540,Male,24,6,No
3541,Male,1,5,Yes
3542,Male,26,9,Yes
3543,Male,29,3,Yes
3544,Female,27,2,No
3545,Female,7,6,Yes
3546,Male,12,7,Yes
3547,Female,7,5,Yes
3548,Male,27,1,No
3549,Female,23,3,Yes
3550,Male,7,3,No
3551,Female,10,4,No
3552,Male,30,6,No
3553,Male,16,5,No
3554,Female,26,1,Yes
3555,Male,8,6,No
3556,Female,9,9,No
3557,Female,9,1,No
3558,Male,2,8,Yes
3559,Female,13,8,Yes
3560,Female,13,3,Yes
3561,Female,23,9,Yes
3562,Female,23,8,No
3563,Female,4,3,No
3564,Male,25,5,No
3565,Female,24,3,Yes
3566,Female,12,5,Yes
3567,Female,17,9,Yes
3568,Female,2,4,No
3569,Female,13,6,No
3570,Male,29,3,No
3571,Female,18,3,Yes
3572,Male,28,5,Yes
3573,Male,28,8,No
3574,Male,27,8,Yes
3575,Male,15,3,No
3576,Female,8,8,No
3577,Male,15,8,Yes
3578,Male,1,3,No
3579,Female,20,2,No
3580,Female,10,2,No
3581,Female,12,9,No
3582,Male,5,7,No
3583,Female,9,6,Yes
3584,Female,23,7,No
3585,Male,8,8,Yes
3586,Female,16,1,No
3587,Female,14,8,Yes
3588,Female,27,3,Yes
3589,Female,25,3,Yes
3590,Male,13,6,No
3591,Female,23,4,Yes
3592,Female,21,4,No
3593,Male,13,4,No
3594,Female,5,9,Yes
3595,Male,16,8,Yes
3596,Female,26,3,No
3597,Male,11,1,No
3598,Male,22,1,No
3599,Male,5,1,Yes
3600,Male,13,4,No
3601,Female,28,6,No
3602,Male,11,4,No
3603,Female,25,3,No
3604,Male,19,8,No
3605,Male,3,8,No
3606,Male,15,6,No
3607,Female,7,9,No
3608,Male,7,1,No
3609,Female,6,8,No
3610,Female,3,6,No
3611,Female,30,1,No
3612,Female,13,4,Yes
3613,Female,7,5,No
3614,Female,5,7,No
3615,Female,23,8,No
3616,Female,18,9,No
3617,Female,22,6,No
3618,Male,30,9,Yes
3619,Male,8,4,No
3620,Male,17,8,Yes
3621,Male,20,3,No
3622,Male,27,4,Yes
3623,Female,1,4,Yes
3624,Female,14,6,No
3625,Female,17,9,Yes
3626,Female,10,6,Yes
3627,Female,12,1,No
3628,Female,16,5,Yes
3629,Female,14,9,Yes
3630,Male,30,5,Yes
3631,Male,27,6,No
3632,Male,16,3,No
3633,Male,8,8,No
3634,Female,23,4,No
3635,Female,28,4,Yes
3636,Female,10,5,No
3637,Male,29,9,Yes
3638,Female,17,8,No
3639,Female,27,7,No
3640,Female,30,5,Yes
3641,Male,29,9,Yes
3642,Female,18,9,No
3643,Male,20,2,No
3644,Male,16,4,No
3645,Male,17,8,No
3646,Male,16,1,No
3647,Female,19,5,Yes
3648,Male,24,8,No
3649,Male,24,2,Yes
3650,Female,8,2,No
3651,Female,6,8,No
3652,Male,6,9,Yes
3653,Female,21,7,No
3654,Male,29,8,Yes
3655,Male,9,5,Yes
3656,Male,4,1,No
3657,Male,26,4,Yes
3658,Female,12,2,No
3659,Male,28,3,No
3660,Female,12,3,No
3661,Female,23,9,No
3662,Female,17,4,No
3663,Female,15,2,No
3664,Male,9,3,No
3665,Female,7,3,Yes
3666,Male,10,7,No
3667,Female,16,8,Yes
3668,Female,12,6,No
3669,Male,25,4,No
3670,Male,7,6,Yes
3671,Male,18,1,Yes
3672,Female,15,8,Yes
3673,Female,6,1,Yes
3674,Male,26,5,No
3675,Male,12,2,No
3676,Male,11,6,Yes
3677,Male,20,9,No
3678,Female,3,5,Yes
3679,Male,2,4,Yes
3680,Male,6,2,Yes
3681,Male,24,3,Yes
3682,Male,22,6,Yes
3683,Female,25,8,No
3684,Male,30,8,Yes
3685,Female,5,5,Yes
3686,Male,18,5,No
3687,Male,16,3,Yes
3688,Female,8,7,Yes
3689,Male,25,6,No
3690,Female,30,1,No
3691,Female,26,4,No
3692,Male,20,6,No
3693,Female,22,6,No
3694,Female,11,3,Yes
3695,Female,10,6,Yes
3696,Female,24,6,Yes
3697,Female,25,9,No
3698,Female,12,9,No
3699,Female,21,2,No
3700,Female,28,4,No
3701,Male,6,9,No
3702,Male,27,4,No
3703,Female,20,8,Yes
3704,Male,5,3,No
3705,Female,23,3,Yes
3706,Female,9,9,Yes
3707,Male,26,8,Yes
3708,Female,27,1,No
3709,Female,29,2,No
3710,Female,16,3,No
3711,Female,22,2,No
3712,Male,14,3,No
3713,Female,22,8,Yes
3714,Female,8,6,Yes
3715,Female,27,7,No
3716,Male,20,6,Yes
3717,Female,19,1,Yes
3718,Male,14,3,No
3719,Male,7,1,Yes
3720,Female,5,9,Yes
3721,Female,18,9,No
3722,Male,2,5,Yes
3723,Female,11,4,No
3724,Male,22,9,No
3725,Male,8,9,No
3726,Female,1,3,Yes
3727,Female,27,5,Yes
3728,Male,22,3,Yes
3729,Male,12,2,No
3730,Male,2,1,Yes
3731,Male,18,2,Yes
3732,Female,7,8,No
3733,Female,26,8,No
3734,Female,17,3,No
3735,Female,22,7,Yes
3736,Female,30,7,No
3737,Male,23,2,Yes
3738,Female,14,9,No
3739,Female,24,3,No
3740,Female,7,2,No
3741,Female,22,3,No
3742,Female,25,2,Yes
3743,Male,29,8,Yes
3744,Male,3,5,Yes
3745,Male,27,3,No
3746,Female,6,5,Yes
3747,Male,20,8,No
3748,Male,2,7,No
3749,Female,17,6,Yes
3750,Female,12,1,No
3751,Female,12,1,No
3752,Male,30,1,Yes
3753,Male,17,8,Yes
3754,Female,27,8,No
3755,Female,10,7,Yes
3756,Male,3,6,No
3757,Male,20,4,Yes
3758,Female,18,1,No
3759,Female,13,9,No
3760,Male,12,1,No
3761,Female,27,4,Yes
3762,Male,27,3,Yes
3763,Male,30,7,No
3764,Male,27,5,Yes
3765,Male,17,5,Yes
3766,Female,4,4,Yes
3767,Female,23,1,No
3768,Male,10,5,Yes
3769,Male,11,4,Yes
3770,Male,6,8,Yes
3771,Male,6,2,No
3772,Male,27,8,No
3773,Female,9,1,No
3774,Female,30,4,Yes
3775,Female,15,3,No
3776,Female,2,5,Yes
3777,Male,4,5,Yes
3778,Male,5,5,No
3779,Male,17,4,Yes
3780,Male,8,8,No
3781,Male,8,3,Yes
3782,Female,22,4,Yes
3783,Male,12,1,Yes
3784,Female,21,7,Yes
3785,Female,8,1,Yes
3786,Female,19,2,No
3787,Female,3,7,No
3788,Male,18,1,No
3789,Female,21,3,No
3790,Female,19,6,Yes
3791,Female,19,6,Yes
3792,Male,15,6,No
3793,Male,6,2,No
3794,Male,16,2,Yes
3795,Female,8,6,No
3796,Female,16,5,Yes
3797,Male,18,7,Yes
3798,Female,20,7,No
3799,Male,16,5,Yes
3800,Male,11,8,Yes
3801,Female,7,6,No
3802,Female,17,5,No
3803,Female,17,4,Yes
3804,Female,12,7,No
3805,Male,13,4,Yes
3806,Male,10,5,No
3807,Male,7,5,Yes
3808,Male,14,1,Yes
3809,Male,23,1,Yes
3810,Female,1,3,Yes
3811,Male,17,3,Yes
3812,Male,4,2,Yes
3813,Male,21,2,Yes
3814,Female,5,6,Yes
3815,Female,20,1,Yes
3816,Female,24,6,No
3817,Female,23,5,Yes
3818,Male,25,6,No
3819,Male,7,5,No
3820,Female,10,7,No
3821,Female,17,1,Yes
3822,Male,29,3,Yes
3823,Male,30,6,No
3824,Female,7,1,Yes
3825,Female,1,7,Yes
3826,Female,7,4,Yes
3827,Female,26,3,Yes
3828,Male,24,9,Yes
3829,Male,11,1,Yes
3830,Male,9,8,No
3831,Female,12,1,No
3832,Female,3,5,No
3833,Male,4,8,No
3834,Male,4,6,No
3835,Male,28,7,Yes
3836,Male,25,8,Yes
3837,Female,13,6,Yes
3838,Male,23,6,No
3839,Male,19,6,No
3840,Male,10,5,Yes
3841,Male,5,8,No
3842,Male,7,2,Yes
3843,Male,24,7,Yes
3844,Male,16,4,Yes
3845,Female,1,1,No
3846,Female,12,5,No
3847,Female,2,3,Yes
3848,Female,7,4,Yes
3849,Male,11,7,No
3850,Female,29,5,No
3851,Female,30,4,No
3852,Male,13,1,No
3853,Male,2,6,Yes
3854,Female,7,6,Yes
3855,Female,15,7,No
3856,Male,25,1,No
3857,Female,11,4,No
3858,Male,2,9,No
3859,Male,7,6,Yes
3860,Male,4,2,No
3861,Male,11,4,No
3862,Female,29,6,Yes
3863,Male,2,4,No
3864,Male,29,7,Yes
3865,Female,16,3,Yes
3866,Male,7,6,Yes
3867,Female,13,4,No
3868,Female,5,3,Yes
3869,Female,17,3,No
3870,Male,21,2,No
3871,Female,12,3,Yes
3872,Female,28,1,Yes
3873,Male,19,3,Yes
3874,Female,7,9,No
3875,Female,6,4,No
3876,Female,8,3,Yes
3877,Female,13,8,No
3878,Female,5,1,Yes
3879,Male,2,5,No
3880,Female,9,1,No
3881,Female,30,7,No
3882,Male,11,5,No
3883,Male,24,2,Yes
3884,Male,6,1,Yes
3885,Female,29,7,Yes
3886,Male,26,1,No
3887,Female,7,3,No
3888,Female,25,6,Yes
3889,Male,7,6,Yes
3890,Male,19,7,Yes
3891,Female,6,1,No
3892,Male,11,7,Yes
3893,Female,29,2,Yes
3894,Male,11,6,Yes
3895,Male,7,8,Yes
3896,Male,2,5,Yes
3897,Female,19,3,Yes
3898,Male,4,8,Yes
3899,Female,26,8,Yes
3900,Female,6,4,Yes
3901,Female,17,8,No
3902,Female,25,5,Yes
3903,Male,5,5,Yes
3904,Female,29,3,Yes
3905,Female,28,7,No
3906,Male,30,9,No
3907,Female,7,9,Yes
3908,Male,9,1,No
3909,Female,25,1,No
3910,Male,1,5,Yes
3911,Female,1,1,No
3912,Male,19,4,No
3913,Female,6,1,Yes
3914,Female,18,2,Yes
3915,Male,10,2,No
3916,Male,28,4,Yes
3917,Male,11,8,Yes
3918,Male,1,2,Yes
3919,Female,1,9,No
3920,Female,13,9,Yes
3921,Male,5,2,No
3922,Female,20,1,No
3923,Male,1,9,Yes
3924,Male,20,2,No
3925,Female,3,8,Yes
3926,Female,18,3,Yes
3927,Female,9,1,Yes
3928,Female,14,1,Yes
3929,Female,27,2,Yes
3930,Female,17,7,No
3931,Female,23,6,No
3932,Male,14,2,Yes
3933,Male,29,4,No
3934,Male,4,2,No
3935,Male,5,1,No
3936,Male,26,3,No
3937,Female,21,4,Yes
3938,Male,17,5,Yes
3939,Male,22,5,Yes
3940,Male,29,7,No
3941,Male,25,8,No
3942,Male,2,9,Yes
3943,Male,23,7,Yes
3944,Male,22,5,No
3945,Female,5,9,Yes
3946,Female,4,8,No
3947,Male,4,9,Yes
3948,Female,6,8,Yes
3949,Female,20,6,No
3950,Female,21,4,Yes
3951,Female,13,9,Yes
3952,Male,22,9,Yes
3953,Female,5,9,Yes
3954,Female,23,3,Yes
3955,Female,25,3,Yes
3956,Male,26,6,No
3957,Male,23,6,No
3958,Male,7,6,No
3959,Male,20,5,No
3960,Male,1,5,No
3961,Male,14,2,Yes
3962,Male,24,7,Yes
3963,Female,4,4,No
3964,Female,17,3,Yes
3965,Female,21,8,Yes
3966,Male,14,4,Yes
3967,Male,16,4,Yes
3968,Male,14,8,Yes
3969,Male,16,1,No
3970,Male,24,9,No
3971,Female,20,7,Yes
3972,Female,29,2,No
3973,Male,28,6,No
3974,Male,8,8,No
3975,Male,24,5,No
3976,Male,3,6,Yes
3977,Female,25,8,No
3978,Male,19,6,Yes
3979,Male,1,9,No
3980,Male,2,9,No
3981,Male,15,9,Yes
3982,Female,22,6,Yes
3983,Male,28,9,No
3984,Male,10,3,No
3985,Female,18,5,Yes
3986,Female,22,2,No
3987,Female,14,8,Yes
3988,Male,17,4,Yes
3989,Male,27,6,Yes
3990,Female,13,6,No
3991,Female,1,5,Yes
3992,Female,5,1,Yes
3993,Female,26,7,No
3994,Female,13,8,Yes
3995,Female,27,1,No
3996,Male,25,7,No
3997,Male,14,4,Yes
3998,Male,24,6,No
3999,Female,3,9,No
4000,Female,15,5,No
4001,Female,19,8,Yes
4002,Female,17,5,Yes
4003,Female,30,2,Yes
4004,Female,3,4,No
4005,Male,16,2,Yes
4006,Male,14,7,Yes
4007,Female,12,7,No
4008,Male,28,3,Yes
4009,Female,12,7,No
4010,Male,29,1,Yes
4011,Female,11,1,No
4012,Female,17,9,No
4013,Male,8,6,No
4014,Male,17,5,No
4015,Female,21,6,Yes
4016,Female,25,6,No
4017,Male,23,1,No
4018,Male,20,5,No
4019,Female,11,9,No
4020,Male,25,4,No
4021,Female,25,3,No
4022,Female,2,1,Yes
4023,Female,10,2,No
4024,Female,10,3,Yes
4025,Male,11,4,No
4026,Male,28,7,No
4027,Male,6,6,Yes
4028,Male,4,8,No
4029,Male,24,9,No
4030,Male,12,6,Yes
4031,Male,11,7,Yes
4032,Female,23,4,Yes
4033,Male,23,2,Yes
4034,Male,27,9,No
4035,Female,26,9,Yes
4036,Male,25,4,Yes
4037,Male,13,3,Yes
4038,Female,5,6,No
4039,Male,6,3,Yes
4040,Male,1,1,No
4041,Male,6,4,No
4042,Female,18,1,No
4043,Male,22,2,No
4044,Male,9,3,Yes
4045,Female,24,8,Yes
4046,Male,25,4,No
4047,Female,29,4,Yes
4048,Female,15,9,Yes
4049,Male,26,7,Yes
4050,Female,8,2,Yes
4051,Female,19,3,No
4052,Male,24,4,Yes
4053,Female,16,4,Yes
4054,Female,6,8,No
4055,Male,29,6,Yes
4056,Male,6,3,Yes
4057,Male,22,9,Yes
4058,Female,3,8,No
4059,Male,10,9,Yes
4060,Female,1,5,Yes
4061,Female,28,3,No
4062,Female,14,4,Yes
4063,Female,4,5,No
4064,Female,26,9,No
4065,Female,12,9,No
4066,Female,6,3,Yes
4067,Male,11,7,Yes
4068,Male,12,6,Yes
4069,Female,10,4,Yes
4070,Female,18,5,Yes
4071,Male,7,2,No
4072,Female,7,7,No
4073,Male,11,4,No
4074,Male,4,2,No
4075,Male,20,6,Yes
4076,Female,1,2,No
4077,Female,13,2,No
4078,Male,18,7,Yes
4079,Male,9,1,No
4080,Male,26,7,Yes
4081,Male,24,5,Yes
4082,Male,24,1,Yes
4083,Female,9,6,No
4084,Male,23,7,No
4085,Female,29,1,No
4086,Male,9,9,No
4087,Female,10,7,No
4088,Female,28,1,No
4089,Female,2,3,Yes
4090,Female,6,5,Yes
4091,Female,15,4,No
4092,Female,3,2,No
4093,Male,11,1,Yes
4094,Female,6,4,Yes
4095,Male,3,7,Yes
4096,Female,24,4,No
4097,Female,11,9,No
4098,Male,15,8,No
4099,Female,13,8,Yes
4100,Male,20,5,No
4101,Male,28,1,No
4102,Male,10,9,No
4103,Male,6,2,No
4104,Female,15,6,No
4105,Female,25,5,No
4106,Male,18,8,Yes
4107,Female,18,3,No
4108,Female,7,6,Yes
4109,Male,15,6,Yes
4110,Female,18,3,Yes
4111,Male,18,7,No
4112,Male,20,4,No
4113,Female,9,5,No
4114,Female,24,9,No
4115,Female,2,6,Yes
4116,Male,8,4,No
4117,Male,20,8,Yes
4118,Female,2,9,No
4119,Female,11,5,No
4120,Female,26,2,Yes
4121,Female,7,6,Yes
4122,Male,6,8,Yes
4123,Female,30,5,No
4124,Male,10,1,Yes
4125,Male,5,8,Yes
4126,Female,11,9,Yes
4127,Female,1,1,No
4128,Female,2,8,Yes
4129,Male,24,2,Yes
4130,Female,1,4,No
4131,Female,19,2,Yes
4132,Male,2,2,Yes
4133,Female,21,3,Yes
4134,Male,20,8,No
4135,Female,29,4,Yes
4136,Male,23,7,Yes
4137,Female,21,3,Yes
4138,Female,24,3,Yes
4139,Male,4,2,Yes
4140,Male,12,6,Yes
4141,Female,22,6,Yes
4142,Male,20,1,No
4143,Male,18,7,No
4144,Male,1,4,No
4145,Male,30,3,Yes
4146,Female,30,8,No
4147,Female,1,2,Yes
4148,Male,24,9,Yes
4149,Male,14,8,Yes
4150,Male,4,8,No
4151,Male,5,3,No
4152,Female,11,4,Yes
4153,Female,24,2,Yes
4154,Male,28,2,No
4155,Male,23,4,No
4156,Male,13,6,No
4157,Female,16,5,No
4158,Male,24,1,No
4159,Female,13,1,No
4160,Male,24,6,No
4161,Female,22,3,Yes
4162,Male,26,3,Yes
4163,Female,2,7,No
4164,Male,16,1,No
4165,Male,6,1,Yes
4166,Male,14,3,No
4167,Female,1,8,Yes
4168,Male,17,1,Yes
4169,Female,11,4,No
4170,Female,19,9,Yes
4171,Male,3,4,No
4172,Male,11,8,No
4173,Male,29,7,Yes
4174,Female,5,3,Yes
4175,Male,17,7,Yes
4176,Female,26,7,No
4177,Female,22,3,No
4178,Male,7,2,No
4179,Male,10,9,No
4180,Male,28,1,No
4181,Male,29,7,No
4182,Male,11,4,No
4183,Male,3,2,Yes
4184,Female,20,2,No
4185,Female,10,8,Yes
4186,Female,27,7,Yes
4187,Male,10,7,No
4188,Female,14,5,Yes
4189,Female,12,8,Yes
4190,Female,15,2,Yes
4191,Female,10,2,No
4192,Female,30,5,Yes
4193,Male,10,1,No
4194,Male,26,6,No
4195,Female,19,4,No
4196,Female,1,6,Yes
4197,Female,24,7,Yes
4198,Male,29,3,No
4199,Male,26,8,No
4200,Female,10,7,No
4201,Male,2,1,Yes
4202,Male,17,6,Yes
4203,Female,30,7,Yes
4204,Male,24,4,Yes
4205,Male,7,2,Yes
4206,Female,7,9,Yes
4207,Male,20,7,Yes
4208,Male,27,1,No
4209,Female,9,8,Yes
4210,Male,22,3,No
4211,Male,2,4,Yes
4212,Female,14,5,No
4213,Female,17,1,Yes
4214,Female,1,6,Yes
4215,Male,9,6,Yes
4216,Female,20,2,No
4217,Male,21,6,Yes
4218,Female,19,8,Yes
4219,Male,4,6,No
4220,Female,28,4,Yes
4221,Female,8,4,Yes
4222,Female,13,9,No
4223,Female,4,6,Yes
4224,Male,9,8,No
4225,Female,9,8,No
4226,Female,22,7,No
4227,Male,18,3,Yes
4228,Female,12,1,Yes
4229,Male,10,5,No
4230,Female,11,2,No
4231,Female,7,2,Yes
4232,Female,9,7,Yes
4233,Male,6,3,Yes
4234,Female,19,8,No
4235,Female,16,9,Yes
4236,Female,30,8,No
4237,Male,15,6,No
4238,Male,7,5,Yes
4239,Female,16,3,Yes
4240,Male,5,3,No
4241,Female,16,7,No
4242,Female,1,5,Yes
4243,Female,19,6,No
4244,Female,5,6,Yes
4245,Female,7,9,Yes
4246,Female,19,1,No
4247,Female,22,8,No
4248,Male,5,5,Yes
4249,Male,29,6,No
4250,Male,17,6,No
4251,Male,26,1,Yes
4252,Male,22,3,No
4253,Male,30,6,Yes
4254,Male,8,9,No
4255,Female,29,6,Yes
4256,Female,29,6,No
4257,Female,1,1,No
4258,Female,2,9,No
4259,Male,30,4,No
4260,Male,15,2,No
4261,Female,20,1,No
4262,Female,28,3,No
4263,Male,18,3,No
4264,Female,11,5,Yes
4265,Female,25,1,No
4266,Female,10,7,No
4267,Female,24,1,No
4268,Male,24,4,No
4269,Female,4,6,No
4270,Female,5,1,Yes
4271,Male,4,7,Yes
4272,Male,13,7,No
4273,Female,25,3,No
4274,Male,13,4,No
4275,Female,18,6,No
4276,Female,29,7,Yes
4277,Male,27,4,No
4278,Female,24,9,Yes
4279,Female,2,9,No
4280,Female,16,9,Yes
4281,Female,1,6,Yes
4282,Male,26,2,Yes
4283,Male,19,2,No
4284,Female,9,4,No
4285,Male,28,9,No
4286,Female,3,3,No
4287,Female,25,6,No
4288,Female,7,2,Yes
4289,Female,29,1,Yes
4290,Female,10,5,Yes
4291,Male,1,8,No
4292,Female,10,2,Yes
4293,Male,21,9,No
4294,Male,9,8,Yes
4295,Female,28,3,No
4296,Female,15,1,Yes
4297,Female,15,4,No
4298,Female,3,8,Yes
4299,Female,25,3,Yes
4300,Male,5,2,Yes
4301,Female,9,7,No
4302,Female,26,4,Yes
4303,Male,22,6,Yes
4304,Male,9,5,Yes
4305,Female,23,2,No
4306,Male,7,2,Yes
4307,Female,24,9,No
4308,Male,23,2,Yes
4309,Male,12,8,Yes
4310,Female,25,8,No
4311,Male,27,1,No
4312,Male,9,1,Yes
4313,Male,6,4,No
4314,Male,23,2,No
4315,Male,2,1,No
4316,Male,9,9,Yes
4317,Female,28,3,Yes
4318,Female,29,1,Yes
4319,Male,17,2,No
4320,Female,1,8,No
4321,Female,19,5,No
4322,Female,28,7,No
4323,Male,6,6,Yes
4324,Female,5,1,No
4325,Male,2,6,Yes
4326,Female,9,7,No
4327,Male,30,4,Yes
4328,Male,29,8,Yes
4329,Female,26,8,No
4330,Female,14,7,No
4331,Male,4,2,No
4332,Female,4,6,Yes
4333,Female,21,6,No
4334,Female,15,7,Yes
4335,Male,8,6,No
4336,Male,26,2,Yes
4337,Female,4,8,No
4338,Female,16,4,Yes
4339,Female,21,9,Yes
4340,Male,28,8,Yes
4341,Male,4,3,No
4342,Female,30,3,Yes
4343,Female,16,8,No
4344,Female,22,2,Yes
4345,Female,12,9,No
4346,Female,16,4,No
4347,Female,19,6,Yes
4348,Male,8,3,Yes
4349,Female,6,3,No
4350,Male,10,3,Yes
4351,Female,5,2,No
4352,Female,29,8,No
4353,Male,18,9,No
4354,Male,10,8,No
4355,Male,10,3,No
4356,Male,7,7,No
4357,Female,18,2,No
4358,Male,1,4,No
4359,Female,7,6,No
4360,Male,21,5,Yes
4361,Female,1,9,No
4362,Female,15,4,No
4363,Female,4,5,No
4364,Female,28,4,Yes
4365,Female,29,8,Yes
4366,Female,20,8,Yes
4367,Male,10,3,Yes
4368,Female,23,1,Yes
4369,Male,9,6,Yes
